"base_var","Class 1","Class 2","Class 3","Class 4"
"Total N","N = 731","N = 653","N = 1975","N = 1258"
"_0to5","0% (N = 0)","0% (N = 0)","0% (N = 0)","0% (N = 0)"
"_11to20","15% (N = 109)","20% (N = 131)","23% (N = 462)","21% (N = 269)"
"_21to30","35% (N = 258)","43% (N = 279)","42% (N = 833)","35% (N = 438)"
"_31more","50% (N = 364)","37% (N = 243)","34% (N = 679)","44% (N = 550)"
"_6to10","0% (N = 0)","0% (N = 0)","0% (N = 0)","0% (N = 0)"
"adi_state","6.5 (2.7)","4.2 (2.9)","3.8 (2.8)","4.5 (3)"
"age","58 (9.3)","54.9 (9)","53.9 (8.6)","56.1 (9.7)"
"age35below","0% (N = 0)","0% (N = 0)","0% (N = 0)","0% (N = 0)"
"age36to45","10% (N = 76)","15% (N = 96)","17% (N = 334)","15% (N = 191)"
"age46to55","31% (N = 226)","42% (N = 275)","44% (N = 863)","34% (N = 432)"
"age56to65","37% (N = 274)","30% (N = 198)","29% (N = 576)","33% (N = 414)"
"age66over","21% (N = 155)","13% (N = 84)","10% (N = 202)","18% (N = 221)"
"american_native","2% (N = 14)","1% (N = 6)","0% (N = 8)","0% (N = 6)"
"asian_or_pi","9% (N = 65)","4% (N = 24)","9% (N = 171)","13% (N = 167)"
"black","10% (N = 75)","13% (N = 83)","9% (N = 176)","15% (N = 187)"
"fan","1% (N = 9)","0% (N = 2)","0% (N = 3)","0% (N = 3)"
"fasian","3% (N = 22)","3% (N = 18)","5% (N = 91)","8% (N = 96)"
"fblack","5% (N = 37)","9% (N = 60)","5% (N = 105)","9% (N = 110)"
"female","32% (N = 234)","50% (N = 329)","43% (N = 851)","45% (N = 571)"
"fgen_boom_lead","4% (N = 27)","3% (N = 20)","2% (N = 44)","4% (N = 49)"
"fgen_boom_trail","11% (N = 82)","13% (N = 83)","11% (N = 225)","14% (N = 179)"
"fgen_ww2","0% (N = 2)","0% (N = 2)","0% (N = 1)","0% (N = 3)"
"fgen_x","17% (N = 123)","34% (N = 224)","29% (N = 581)","27% (N = 340)"
"fgen_y","0% (N = 0)","0% (N = 0)","0% (N = 0)","0% (N = 0)"
"fhispanic","1% (N = 7)","2% (N = 15)","1% (N = 28)","2% (N = 28)"
"fother","1% (N = 8)","0% (N = 1)","1% (N = 22)","1% (N = 17)"
"funknown","0% (N = 1)","0% (N = 1)","0% (N = 3)","0% (N = 2)"
"fwhite","21% (N = 150)","36% (N = 232)","30% (N = 599)","25% (N = 315)"
"gen_boom_lead","25% (N = 181)","15% (N = 99)","13% (N = 258)","20% (N = 246)"
"gen_boom_trail","35% (N = 257)","32% (N = 207)","32% (N = 635)","33% (N = 415)"
"gen_ww2","5% (N = 33)","3% (N = 20)","2% (N = 39)","5% (N = 60)"
"gen_x","36% (N = 260)","50% (N = 327)","53% (N = 1042)","43% (N = 537)"
"gen_y","0% (N = 0)","0% (N = 0)","0% (N = 1)","0% (N = 0)"
"group","100% (N = 731)","100% (N = 653)","100% (N = 1975)","100% (N = 1258)"
"group_fam","47% (N = 344)","0% (N = 0)","41% (N = 801)","41% (N = 513)"
"group_ger","3% (N = 23)","0% (N = 0)","2% (N = 33)","8% (N = 96)"
"group_int","28% (N = 206)","0% (N = 0)","27% (N = 539)","34% (N = 428)"
"group_obgyn","1% (N = 10)","100% (N = 653)","0% (N = 0)","0% (N = 2)"
"group_ped","20% (N = 148)","0% (N = 0)","30% (N = 602)","17% (N = 219)"
"hispanicrace","4% (N = 29)","3% (N = 21)","3% (N = 58)","4% (N = 56)"
"hpsa_full","17% (N = 124)","4% (N = 25)","2% (N = 46)","3% (N = 38)"
"hpsa_not","10% (N = 71)","3% (N = 17)","2% (N = 48)","2% (N = 31)"
"hpsa_part","73% (N = 536)","94% (N = 611)","95% (N = 1881)","95% (N = 1189)"
"in","100% (N = 731)","100% (N = 653)","100% (N = 1975)","100% (N = 1258)"
"man","1% (N = 5)","1% (N = 4)","0% (N = 5)","0% (N = 3)"
"masian","6% (N = 43)","1% (N = 6)","4% (N = 80)","6% (N = 71)"
"mblack","5% (N = 38)","4% (N = 23)","4% (N = 71)","6% (N = 77)"
"mgen_boom_lead","21% (N = 154)","12% (N = 79)","11% (N = 214)","16% (N = 197)"
"mgen_boom_trail","24% (N = 175)","19% (N = 124)","21% (N = 410)","19% (N = 236)"
"mgen_ww2","4% (N = 31)","3% (N = 18)","2% (N = 38)","5% (N = 57)"
"mgen_x","19% (N = 137)","16% (N = 103)","23% (N = 461)","16% (N = 197)"
"mgen_y","0% (N = 0)","0% (N = 0)","0% (N = 1)","0% (N = 0)"
"mhispanic","3% (N = 22)","1% (N = 6)","2% (N = 30)","2% (N = 28)"
"mother","2% (N = 16)","0% (N = 3)","1% (N = 22)","1% (N = 16)"
"munknown","0% (N = 0)","0% (N = 0)","0% (N = 2)","0% (N = 1)"
"mwhite","51% (N = 373)","43% (N = 282)","46% (N = 914)","39% (N = 491)"
"obstetrics","1% (N = 5)","68% (N = 443)","1% (N = 13)","1% (N = 16)"
"other_race","3% (N = 24)","1% (N = 4)","2% (N = 44)","3% (N = 33)"
"patient_care_hours","40.1 (14.8)","42.7 (17.5)","39.5 (13.1)","33.9 (16.8)"
"practice_yrs","30.9 (9.6)","28.4 (8.9)","27.5 (8.8)","29.6 (10)"
"prenatal","2% (N = 16)","71% (N = 462)","2% (N = 38)","6% (N = 74)"
"race_unknown","0% (N = 1)","0% (N = 1)","0% (N = 5)","0% (N = 3)"
"ruca_lrural","70% (N = 514)","13% (N = 82)","0% (N = 0)","0% (N = 0)"
"ruca_srural","30% (N = 217)","3% (N = 20)","0% (N = 0)","0% (N = 0)"
"ruca_urban","0% (N = 0)","84% (N = 551)","100% (N = 1974)","100% (N = 1258)"
"school_img","18% (N = 133)","3% (N = 20)","12% (N = 234)","21% (N = 259)"
"school_in_state","34% (N = 250)","37% (N = 241)","34% (N = 672)","27% (N = 338)"
"school_out_hbcu","2% (N = 11)","2% (N = 10)","1% (N = 18)","2% (N = 31)"
"school_out_nonhbcu","46% (N = 337)","58% (N = 382)","53% (N = 1051)","50% (N = 630)"
"setting_amb","58% (N = 426)","68% (N = 443)","100% (N = 1975)","0% (N = 0)"
"setting_hosp","9% (N = 67)","12% (N = 76)","0% (N = 0)","29% (N = 359)"
"setting_medsch","0% (N = 0)","4% (N = 23)","0% (N = 0)","9% (N = 115)"
"setting_missing","5% (N = 35)","4% (N = 25)","0% (N = 0)","10% (N = 130)"
"setting_nurs","2% (N = 11)","0% (N = 0)","0% (N = 0)","5% (N = 66)"
"setting_other","11% (N = 83)","6% (N = 39)","0% (N = 0)","21% (N = 260)"
"setting_solo","15% (N = 109)","7% (N = 47)","0% (N = 0)","26% (N = 328)"
"white","72% (N = 523)","79% (N = 514)","77% (N = 1513)","64% (N = 806)"
"zadi_state","0.7 (0.9)","-0.1 (1)","-0.2 (0.9)","0 (1)"
"zhours","0.1 (1)","0.3 (1.1)","0.1 (0.8)","-0.3 (1.1)"
