"ruca_lrural","14% (N = 561)","11% (N = 348)","14% (N = 641)","13% (N = 596)"
"ruca_srural","6% (N = 245)","4% (N = 130)","5% (N = 253)","5% (N = 237)"
"ruca_urban","80% (N = 3279)","86% (N = 2824)","81% (N = 3723)","82% (N = 3783)"
"school_img","20% (N = 797)","17% (N = 568)","14% (N = 658)","14% (N = 646)"
"school_in_state","24% (N = 956)","21% (N = 694)","33% (N = 1504)","33% (N = 1501)"
"school_out_hbcu","1% (N = 60)","2% (N = 52)","2% (N = 70)","2% (N = 70)"
"school_out_nonhbcu","55% (N = 2224)","60% (N = 1995)","52% (N = 2385)","52% (N = 2400)"
"setting_amb","38% (N = 1569)","44% (N = 1462)","66% (N = 3037)","62% (N = 2844)"
"setting_hosp","31% (N = 1261)","28% (N = 941)","11% (N = 489)","11% (N = 502)"
"setting_medsch","12% (N = 474)","3% (N = 102)","4% (N = 174)","3% (N = 138)"
"setting_missing","8% (N = 313)","12% (N = 383)","5% (N = 237)","4% (N = 190)"
"setting_nurs","1% (N = 30)","1% (N = 46)","1% (N = 42)","2% (N = 77)"
"setting_other","2% (N = 80)","9% (N = 296)","1% (N = 33)","8% (N = 382)"
"setting_solo","9% (N = 358)","2% (N = 82)","13% (N = 605)","10% (N = 484)"
"white","71% (N = 2903)","60% (N = 1996)","73% (N = 3356)","73% (N = 3356)"
"zadi_state","0 (1)","0 (1)","0 (1)","0 (1)"
"zhours","-0.1 (1.1)","0 (1)","0.1 (0.9)","0 (1)"
